"EWR","2013","411","B6","N355JB","EMBRAER"
"JFK","2013","381","B6","N354JB","EMBRAER"
"EWR","2013","325","UA","N37465","BOEING"
"EWR","2013","304","UA","N38467","BOEING"
"JFK","2013","292","B6","N355JB","EMBRAER"
"EWR","2013","286","UA","N37471","BOEING"
"EWR","2013","266","UA","N37471","BOEING"
"EWR","2013","256","UA","N36476","BOEING"
"JFK","2013","255","VX","N361VA","AIRBUS"
"JFK","2013","246","9E","N295PQ","BOMBARDIER INC"
"JFK","2013","243","B6","N355JB","EMBRAER"
"JFK","2013","240","B6","N368JB","EMBRAER"
"JFK","2013","239","B6","N354JB","EMBRAER"
"EWR","2013","235","UA","N37466","BOEING"
"JFK","2013","230","B6","N355JB","EMBRAER"
"EWR","2013","229","B6","N355JB","EMBRAER"
"JFK","2013","227","B6","N374JB","EMBRAER"
"JFK","2013","222","9E","N297PQ","BOMBARDIER INC"
"EWR","2013","220","UA","N37465","BOEING"
"JFK","2013","214","9E","N296PQ","BOMBARDIER INC"
